rule,side,horizon,tp,sl,train,oos_april,latest
raw_seq9_up_long,long,20,0.3,0.8,"{'name': 'raw_seq9_up_long', 'side': 'long', 'horizon': 20, 'count': 141, 'mean': -0.511348, 'win_rate': 0.2624, 'profit_factor': 0.1334, 'total': -72.1}","{'name': 'raw_seq9_up_long', 'side': 'long', 'horizon': 20, 'count': 31, 'mean': -0.480645, 'win_rate': 0.2903, 'profit_factor': 0.1534, 'total': -14.9}","{'name': 'raw_seq9_up_long', 'side': 'long', 'horizon': 20, 'count': 4, 'mean': -0.25, 'win_rate': 0.5, 'profit_factor': 0.375, 'total': -1.0}"
ema9_20_momo_long,long,20,0.3,0.5,"{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 20, 'count': 16851, 'mean': -0.356341, 'win_rate': 0.1796, 'profit_factor': 0.1313, 'total': -6004.7}","{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 20, 'count': 6919, 'mean': -0.342289, 'win_rate': 0.1971, 'profit_factor': 0.1473, 'total': -2368.3}","{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 20, 'count': 797, 'mean': -0.338394, 'win_rate': 0.202, 'profit_factor': 0.1519, 'total': -269.7}"
ema9_20_momo_long,long,10,0.3,0.5,"{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 10, 'count': 16851, 'mean': -0.356341, 'win_rate': 0.1796, 'profit_factor': 0.1313, 'total': -6004.7}","{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 10, 'count': 6919, 'mean': -0.342289, 'win_rate': 0.1971, 'profit_factor': 0.1473, 'total': -2368.3}","{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 10, 'count': 802, 'mean': -0.339401, 'win_rate': 0.2007, 'profit_factor': 0.1507, 'total': -272.2}"
core_ema9_20_long,long,20,0.3,0.5,"{'name': 'core_ema9_20_long', 'side': 'long', 'horizon': 20, 'count': 3196, 'mean': -0.329537, 'win_rate': 0.2131, 'profit_factor': 0.1625, 'total': -1053.2}","{'name': 'core_ema9_20_long', 'side': 'long', 'horizon': 20, 'count': 1284, 'mean': -0.342368, 'win_rate': 0.197, 'profit_factor': 0.1472, 'total': -439.6}","{'name': 'core_ema9_20_long', 'side': 'long', 'horizon': 20, 'count': 56, 'mean': -0.342857, 'win_rate': 0.1964, 'profit_factor': 0.1467, 'total': -19.2}"
core_ema9_20_long,long,10,0.3,0.5,"{'name': 'core_ema9_20_long', 'side': 'long', 'horizon': 10, 'count': 3196, 'mean': -0.329537, 'win_rate': 0.2131, 'profit_factor': 0.1625, 'total': -1053.2}","{'name': 'core_ema9_20_long', 'side': 'long', 'horizon': 10, 'count': 1284, 'mean': -0.342368, 'win_rate': 0.197, 'profit_factor': 0.1472, 'total': -439.6}","{'name': 'core_ema9_20_long', 'side': 'long', 'horizon': 10, 'count': 57, 'mean': -0.345614, 'win_rate': 0.193, 'profit_factor': 0.1435, 'total': -19.7}"
rsi14_revert_long,long,10,0.3,0.8,"{'name': 'rsi14_revert_long', 'side': 'long', 'horizon': 10, 'count': 1281, 'mean': -0.523497, 'win_rate': 0.2514, 'profit_factor': 0.1259, 'total': -670.6}","{'name': 'rsi14_revert_long', 'side': 'long', 'horizon': 10, 'count': 493, 'mean': -0.492089, 'win_rate': 0.2799, 'profit_factor': 0.1458, 'total': -242.6}","{'name': 'rsi14_revert_long', 'side': 'long', 'horizon': 10, 'count': 59, 'mean': -0.408475, 'win_rate': 0.3559, 'profit_factor': 0.2072, 'total': -24.1}"
rsi14_revert_long,long,20,0.3,0.8,"{'name': 'rsi14_revert_long', 'side': 'long', 'horizon': 20, 'count': 1281, 'mean': -0.523497, 'win_rate': 0.2514, 'profit_factor': 0.1259, 'total': -670.6}","{'name': 'rsi14_revert_long', 'side': 'long', 'horizon': 20, 'count': 493, 'mean': -0.492089, 'win_rate': 0.2799, 'profit_factor': 0.1458, 'total': -242.6}","{'name': 'rsi14_revert_long', 'side': 'long', 'horizon': 20, 'count': 59, 'mean': -0.408475, 'win_rate': 0.3559, 'profit_factor': 0.2072, 'total': -24.1}"
breakout5_long,long,20,0.2,0.8,"{'name': 'breakout5_long', 'side': 'long', 'horizon': 20, 'count': 9192, 'mean': -0.531179, 'win_rate': 0.2688, 'profit_factor': 0.0919, 'total': -4882.6}","{'name': 'breakout5_long', 'side': 'long', 'horizon': 20, 'count': 3797, 'mean': -0.44472, 'win_rate': 0.3553, 'profit_factor': 0.1378, 'total': -1688.6}","{'name': 'breakout5_long', 'side': 'long', 'horizon': 20, 'count': 447, 'mean': -0.435347, 'win_rate': 0.3647, 'profit_factor': 0.1435, 'total': -194.6}"
breakout5_long,long,10,0.2,0.8,"{'name': 'breakout5_long', 'side': 'long', 'horizon': 10, 'count': 9192, 'mean': -0.531179, 'win_rate': 0.2688, 'profit_factor': 0.0919, 'total': -4882.6}","{'name': 'breakout5_long', 'side': 'long', 'horizon': 10, 'count': 3797, 'mean': -0.44472, 'win_rate': 0.3553, 'profit_factor': 0.1378, 'total': -1688.6}","{'name': 'breakout5_long', 'side': 'long', 'horizon': 10, 'count': 450, 'mean': -0.435556, 'win_rate': 0.3644, 'profit_factor': 0.1434, 'total': -196.0}"
ema50_200_momo_short,short,10,0.3,0.5,"{'name': 'ema50_200_momo_short', 'side': 'short', 'horizon': 10, 'count': 14581, 'mean': -0.381654, 'win_rate': 0.1479, 'profit_factor': 0.1042, 'total': -5564.9}","{'name': 'ema50_200_momo_short', 'side': 'short', 'horizon': 10, 'count': 7278, 'mean': -0.353806, 'win_rate': 0.1827, 'profit_factor': 0.1342, 'total': -2575.0}","{'name': 'ema50_200_momo_short', 'side': 'short', 'horizon': 10, 'count': 1081, 'mean': -0.337188, 'win_rate': 0.2035, 'profit_factor': 0.1533, 'total': -364.5}"
